date,value
2026-09-01,10000.0
2026-09-02,10124.43
2026-09-03,10187.2
2026-09-04,10231.55
2026-09-08,10120.66
2026-09-09,10115.46
2026-09-10,9993.77
2026-09-11,10009.35
2026-09-14,10231.17
2026-09-15,9858.42
2026-09-16,9716.61
2026-09-17,9828.34
2026-09-18,9786.98
2026-09-21,9931.42
2026-09-22,10003.18
2026-09-23,9808.56
2026-09-24,9794.22
2026-09-25,9745.06
